user.id,age
2,23.0
8,28.0
9,25.0
10,24.0
11,29.0
13,13.0
20,25.0
26,22.0
27,15.0
29,23.0
31,19.0
33,16.0
35,20.0
36,28.0
38,19.0
48,25.0
49,23.0
53,21.0
54,16.0
59,24.0
66,32.0
68,27.0
72,19.0
76,22.0
83,31.0
89,38.0
90,24.0
91,14.0
94,26.0
95,24.0
96,24.0
101,15.0
105,25.0
108,26.0
115,27.0
119,24.0
120,20.0
123,28.0
124,26.0
126,17.0
134,18.0
137,27.0
140,25.0
142,29.0
144,27.0
145,27.0
146,27.0
147,34.0
154,28.0
155,27.0
157,27.0
166,25.0
167,28.0
169,23.0
172,18.0
175,31.0
183,20.0
184,27.0
185,24.0
188,27.0
194,18.0
200,29.0
204,15.0
216,15.0
217,15.0
221,25.0
222,28.0
223,16.0
229,16.0
230,29.0
232,18.0
236,21.0
240,34.0
242,30.0
246,28.0
247,14.0
250,25.0
260,18.0
263,23.0
265,15.0
267,17.0
270,29.0
271,19.0
273,15.0
275,27.0
276,25.0
277,21.0
282,29.0
283,24.0
288,32.0
289,21.0
290,19.0
298,26.0
300,13.0
303,28.0
304,19.0
305,36.0
306,27.0
307,14.0
312,21.0
320,27.0
321,28.0
323,17.0
325,14.0
327,24.0
330,16.0
331,14.0
332,13.0
333,16.0
334,14.0
339,17.0
341,31.0
342,28.0
354,19.0
355,27.0
364,31.0
365,18.0
370,25.0
378,26.0
379,18.0
387,17.0
392,32.0
401,22.0
402,15.0
406,21.0
408,18.0
409,19.0
410,24.0
411,15.0
413,15.0
416,23.0
417,17.0
421,20.0
424,15.0
426,25.0
430,25.0
432,25.0
433,26.0
434,13.0
435,26.0
436,33.0
440,29.0
446,14.0
451,27.0
452,31.0
453,29.0
454,26.0
458,23.0
462,17.0
465,25.0
466,29.0
468,28.0
470,15.0
471,29.0
477,28.0
480,16.0
485,18.0
486,23.0
488,15.0
496,33.0
502,29.0
503,28.0
504,28.0
505,29.0
506,28.0
507,19.0
513,32.0
515,22.0
516,20.0
517,23.0
521,25.0
526,16.0
529,15.0
530,14.0
534,15.0
536,28.0
538,16.0
542,26.0
546,15.0
552,30.0
561,39.0
563,25.0
564,21.0
569,14.0
572,17.0
574,27.0
577,19.0
578,15.0
584,16.0
587,19.0
588,17.0
589,16.0
596,19.0
597,27.0
598,15.0
